"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Births"	"Female Population"	"Fertility Rate"
	"Arizona"	"04"	"2022"	"2022"	"45-49 years"	"45-49"	159	Not Available	Not Available
	"Arizona"	"04"	"2022"	"2022"	"50 years and over"	"50+"	10	Not Available	Not Available
	"Arkansas"	"05"	"2016"	"2016"	"Under 15 years"	"15"	44	Not Available	Not Available
	"Arkansas"	"05"	"2016"	"2016"	"15-19 years"	"15-19"	3372	97359	34.63
	"Arkansas"	"05"	"2016"	"2016"	"20-24 years"	"20-24"	11149	99655	111.88
	"Arkansas"	"05"	"2016"	"2016"	"25-29 years"	"25-29"	11882	100679	118.02
	"Arkansas"	"05"	"2016"	"2016"	"30-34 years"	"30-34"	7972	95277	83.67
	"Arkansas"	"05"	"2016"	"2016"	"35-39 years"	"35-39"	3258	93842	34.72
	"Arkansas"	"05"	"2016"	"2016"	"40-44 years"	"40-44"	562	89946	6.25
	"Arkansas"	"05"	"2016"	"2016"	"45-49 years"	"45-49"	31	Not Available	Not Available
	"Arkansas"	"05"	"2017"	"2017"	"Under 15 years"	"15"	49	Not Available	Not Available
	"Arkansas"	"05"	"2017"	"2017"	"15-19 years"	"15-19"	3178	96842	32.82
	"Arkansas"	"05"	"2017"	"2017"	"20-24 years"	"20-24"	10711	99472	107.68
	"Arkansas"	"05"	"2017"	"2017"	"25-29 years"	"25-29"	11740	102087	115.00
	"Arkansas"	"05"	"2017"	"2017"	"30-34 years"	"30-34"	8066	94889	85.00
	"Arkansas"	"05"	"2017"	"2017"	"35-39 years"	"35-39"	3149	94858	33.20
	"Arkansas"	"05"	"2017"	"2017"	"40-44 years"	"40-44"	598	89299	6.70
	"Arkansas"	"05"	"2017"	"2017"	"45-49 years"	"45-49"	28	Not Available	Not Available
	"Arkansas"	"05"	"2018"	"2018"	"Under 15 years"	"15"	27	Not Available	Not Available
	"Arkansas"	"05"	"2018"	"2018"	"15-19 years"	"15-19"	2928	96352	30.39
	"Arkansas"	"05"	"2018"	"2018"	"20-24 years"	"20-24"	10540	98968	106.50
	"Arkansas"	"05"	"2018"	"2018"	"25-29 years"	"25-29"	11527	102518	112.44
	"Arkansas"	"05"	"2018"	"2018"	"30-34 years"	"30-34"	7973	94988	83.94
	"Arkansas"	"05"	"2018"	"2018"	"35-39 years"	"35-39"	3382	95903	35.26
	"Arkansas"	"05"	"2018"	"2018"	"40-44 years"	"40-44"	609	89269	6.82
	"Arkansas"	"05"	"2018"	"2018"	"45-49 years"	"45-49"	31	Not Available	Not Available
	"Arkansas"	"05"	"2019"	"2019"	"Under 15 years"	"15"	28	Not Available	Not Available
	"Arkansas"	"05"	"2019"	"2019"	"15-19 years"	"15-19"	2882	96172	29.97
	"Arkansas"	"05"	"2019"	"2019"	"20-24 years"	"20-24"	10354	98538	105.08
	"Arkansas"	"05"	"2019"	"2019"	"25-29 years"	"25-29"	11325	101740	111.31
	"Arkansas"	"05"	"2019"	"2019"	"30-34 years"	"30-34"	7929	95820	82.75
	"Arkansas"	"05"	"2019"	"2019"	"35-39 years"	"35-39"	3399	96239	35.32
	"Arkansas"	"05"	"2019"	"2019"	"40-44 years"	"40-44"	622	89810	6.93
	"Arkansas"	"05"	"2019"	"2019"	"45-49 years"	"45-49"	23	Not Available	Not Available
	"Arkansas"	"05"	"2020"	"2020"	"Under 15 years"	"15"	43	Not Available	Not Available
	"Arkansas"	"05"	"2020"	"2020"	"15-19 years"	"15-19"	2676	96125	27.84
	"Arkansas"	"05"	"2020"	"2020"	"20-24 years"	"20-24"	9847	99075	99.39
	"Arkansas"	"05"	"2020"	"2020"	"25-29 years"	"25-29"	10862	100342	108.25
	"Arkansas"	"05"	"2020"	"2020"	"30-34 years"	"30-34"	7803	98020	79.61
	"Arkansas"	"05"	"2020"	"2020"	"35-39 years"	"35-39"	3330	96000	34.69
	"Arkansas"	"05"	"2020"	"2020"	"40-44 years"	"40-44"	656	91622	7.16
	"Arkansas"	"05"	"2020"	"2020"	"45-49 years"	"45-49"	32	Not Available	Not Available
	"Arkansas"	"05"	"2021"	"2021"	"Under 15 years"	"15"	33	Not Available	Not Available
	"Arkansas"	"05"	"2021"	"2021"	"15-19 years"	"15-19"	2609	98289	26.54
	"Arkansas"	"05"	"2021"	"2021"	"20-24 years"	"20-24"	9805	98509	99.53
	"Arkansas"	"05"	"2021"	"2021"	"25-29 years"	"25-29"	10921	96866	112.74
	"Arkansas"	"05"	"2021"	"2021"	"30-34 years"	"30-34"	8361	99656	83.90
	"Arkansas"	"05"	"2021"	"2021"	"35-39 years"	"35-39"	3513	95953	36.61
	"Arkansas"	"05"	"2021"	"2021"	"40-44 years"	"40-44"	701	93766	7.48
	"Arkansas"	"05"	"2021"	"2021"	"45-49 years"	"45-49"	22	Not Available	Not Available
	"Arkansas"	"05"	"2022"	"2022"	"Under 15 years"	"15"	36	Not Available	Not Available
	"Arkansas"	"05"	"2022"	"2022"	"15-19 years"	"15-19"	2440	99097	24.62
	"Arkansas"	"05"	"2022"	"2022"	"20-24 years"	"20-24"	9423	103776	90.80
	"Arkansas"	"05"	"2022"	"2022"	"25-29 years"	"25-29"	11022	95816	115.03
	"Arkansas"	"05"	"2022"	"2022"	"30-34 years"	"30-34"	8261	100811	81.95
	"Arkansas"	"05"	"2022"	"2022"	"35-39 years"	"35-39"	3516	95289	36.90
	"Arkansas"	"05"	"2022"	"2022"	"40-44 years"	"40-44"	746	94653	7.88
	"Arkansas"	"05"	"2022"	"2022"	"45-49 years"	"45-49"	26	Not Available	Not Available
	"California"	"06"	"2016"	"2016"	"Under 15 years"	"15"	195	Not Available	Not Available
	"California"	"06"	"2016"	"2016"	"15-19 years"	"15-19"	21412	1261884	16.97
	"California"	"06"	"2016"	"2016"	"20-24 years"	"20-24"	83668	1354554	61.77
	"California"	"06"	"2016"	"2016"	"25-29 years"	"25-29"	130052	1488466	87.37
	"California"	"06"	"2016"	"2016"	"30-34 years"	"30-34"	146995	1389756	105.77
	"California"	"06"	"2016"	"2016"	"35-39 years"	"35-39"	84720	1310643	64.64
	"California"	"06"	"2016"	"2016"	"40-44 years"	"40-44"	19849	1257033	15.79
	"California"	"06"	"2016"	"2016"	"45-49 years"	"45-49"	1707	Not Available	Not Available
	"California"	"06"	"2016"	"2016"	"50 years and over"	"50+"	229	Not Available	Not Available
	"California"	"06"	"2017"	"2017"	"Under 15 years"	"15"	152	Not Available	Not Available
	"California"	"06"	"2017"	"2017"	"15-19 years"	"15-19"	18935	1254099	15.10
	"California"	"06"	"2017"	"2017"	"20-24 years"	"20-24"	77404	1338452	57.83
	"California"	"06"	"2017"	"2017"	"25-29 years"	"25-29"	124921	1513117	82.56
	"California"	"06"	"2017"	"2017"	"30-34 years"	"30-34"	142411	1405834	101.30
	"California"	"06"	"2017"	"2017"	"35-39 years"	"35-39"	85564	1337511	63.97
	"California"	"06"	"2017"	"2017"	"40-44 years"	"40-44"	20271	1255619	16.14
	"California"	"06"	"2017"	"2017"	"45-49 years"	"45-49"	1759	Not Available	Not Available
	"California"	"06"	"2017"	"2017"	"50 years and over"	"50+"	241	Not Available	Not Available
	"California"	"06"	"2018"	"2018"	"Under 15 years"	"15"	130	Not Available	Not Available
	"California"	"06"	"2018"	"2018"	"15-19 years"	"15-19"	16929	1245863	13.59
	"California"	"06"	"2018"	"2018"	"20-24 years"	"20-24"	70591	1315837	53.65
	"California"	"06"	"2018"	"2018"	"25-29 years"	"25-29"	118957	1510265	78.77
	"California"	"06"	"2018"	"2018"	"30-34 years"	"30-34"	139685	1414252	98.77
	"California"	"06"	"2018"	"2018"	"35-39 years"	"35-39"	86467	1354752	63.82
	"California"	"06"	"2018"	"2018"	"40-44 years"	"40-44"	20054	1248032	16.07
	"California"	"06"	"2018"	"2018"	"45-49 years"	"45-49"	1826	Not Available	Not Available
	"California"	"06"	"2018"	"2018"	"50 years and over"	"50+"	281	Not Available	Not Available
	"California"	"06"	"2019"	"2019"	"Under 15 years"	"15"	122	Not Available	Not Available
	"California"	"06"	"2019"	"2019"	"15-19 years"	"15-19"	15356	1241516	12.37
	"California"	"06"	"2019"	"2019"	"20-24 years"	"20-24"	66789	1287528	51.87
	"California"	"06"	"2019"	"2019"	"25-29 years"	"25-29"	115830	1494297	77.51
	"California"	"06"	"2019"	"2019"	"30-34 years"	"30-34"	138688	1432403	96.82
	"California"	"06"	"2019"	"2019"	"35-39 years"	"35-39"	87106	1363988	63.86
	"California"	"06"	"2019"	"2019"	"40-44 years"	"40-44"	20416	1245533	16.39
	"California"	"06"	"2019"	"2019"	"45-49 years"	"45-49"	1865	Not Available	Not Available
	"California"	"06"	"2019"	"2019"	"50 years and over"	"50+"	307	Not Available	Not Available
	"California"	"06"	"2020"	"2020"	"Under 15 years"	"15"	117	Not Available	Not Available
	"California"	"06"	"2020"	"2020"	"15-19 years"	"15-19"	13591	1232274	11.03
	"California"	"06"	"2020"	"2020"	"20-24 years"	"20-24"	61072	1262793	48.36
	"California"	"06"	"2020"	"2020"	"25-29 years"	"25-29"	107293	1454285	73.78
	"California"	"06"	"2020"	"2020"	"30-34 years"	"30-34"	132648	1453668	91.25
	"California"	"06"	"2020"	"2020"	"35-39 years"	"35-39"	83699	1362477	61.43
	"California"	"06"	"2020"	"2020"	"40-44 years"	"40-44"	19850	1253074	15.84
	"California"	"06"	"2020"	"2020"	"45-49 years"	"45-49"	1712	Not Available	Not Available
	"California"	"06"	"2020"	"2020"	"50 years and over"	"50+"	277	Not Available	Not Available
	"California"	"06"	"2021"	"2021"	"Under 15 years"	"15"	131	Not Available	Not Available
	"California"	"06"	"2021"	"2021"	"15-19 years"	"15-19"	12480	1257351	9.93
	"California"	"06"	"2021"	"2021"	"20-24 years"	"20-24"	58700	1237296	47.44
	"California"	"06"	"2021"	"2021"	"25-29 years"	"25-29"	105348	1381494	76.26
	"California"	"06"	"2021"	"2021"	"30-34 years"	"30-34"	135721	1458475	93.06
	"California"	"06"	"2021"	"2021"	"35-39 years"	"35-39"	85938	1365547	62.93
	"California"	"06"	"2021"	"2021"	"40-44 years"	"40-44"	20315	1273128	15.96
	"California"	"06"	"2021"	"2021"	"45-49 years"	"45-49"	1695	Not Available	Not Available
	"California"	"06"	"2021"	"2021"	"50 years and over"	"50+"	280	Not Available	Not Available
	"California"	"06"	"2022"	"2022"	"Under 15 years"	"15"	133	Not Available	Not Available
	"California"	"06"	"2022"	"2022"	"15-19 years"	"15-19"	12279	1251409	9.81
	"California"	"06"	"2022"	"2022"	"20-24 years"	"20-24"	56960	1288039	44.22
	"California"	"06"	"2022"	"2022"	"25-29 years"	"25-29"	102283	1337669	76.46
	"California"	"06"	"2022"	"2022"	"30-34 years"	"30-34"	135443	1446181	93.66
	"California"	"06"	"2022"	"2022"	"35-39 years"	"35-39"	88108	1342594	65.63
	"California"	"06"	"2022"	"2022"	"40-44 years"	"40-44"	21805	1272878	17.13
	"California"	"06"	"2022"	"2022"	"45-49 years"	"45-49"	1788	Not Available	Not Available
	"California"	"06"	"2022"	"2022"	"50 years and over"	"50+"	305	Not Available	Not Available
	"Colorado"	"08"	"2016"	"2016"	"Under 15 years"	"15"	36	Not Available	Not Available
	"Colorado"	"08"	"2016"	"2016"	"15-19 years"	"15-19"	3068	171952	17.84
	"Colorado"	"08"	"2016"	"2016"	"20-24 years"	"20-24"	11845	185106	63.99
	"Colorado"	"08"	"2016"	"2016"	"25-29 years"	"25-29"	18722	204736	91.44
	"Colorado"	"08"	"2016"	"2016"	"30-34 years"	"30-34"	20399	200160	101.91
	"Colorado"	"08"	"2016"	"2016"	"35-39 years"	"35-39"	10353	188310	54.98
	"Colorado"	"08"	"2016"	"2016"	"40-44 years"	"40-44"	2053	172870	11.88
	"Colorado"	"08"	"2016"	"2016"	"45-49 years"	"45-49"	127	Not Available	Not Available
	"Colorado"	"08"	"2016"	"2016"	"50 years and over"	"50+"	10	Not Available	Not Available
	"Colorado"	"08"	"2017"	"2017"	"Under 15 years"	"15"	20	Not Available	Not Available
	"Colorado"	"08"	"2017"	"2017"	"15-19 years"	"15-19"	2790	172981	16.13
	"Colorado"	"08"	"2017"	"2017"	"20-24 years"	"20-24"	11081	178981	61.91
	"Colorado"	"08"	"2017"	"2017"	"25-29 years"	"25-29"	18101	210878	85.84
	"Colorado"	"08"	"2017"	"2017"	"30-34 years"	"30-34"	19759	205888	95.97
	"Colorado"	"08"	"2017"	"2017"	"35-39 years"	"35-39"	10455	195146	53.58
