"Notes"	"State of Residence"	"State of Residence Code"	"Age of Mother 10"	"Age of Mother 10 Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education ""Code"	"Births"""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	851""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	"Bachelor's degree (BA, AB, ""BS)"	"6"	683""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	54""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	"Unknown or Not ""Stated"	"Unk"	25""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"8th grade or ""less"	"1"	533""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	1628""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	7293""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	3490""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Associate degree (AA, ""AS)"	"5"	904""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Bachelor's degree (BA, AB, ""BS)"	"6"	660""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	55""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Unknown or Not ""Stated"	"Unk"	14""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"8th grade or ""less"	"1"	530""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	1506""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	7356""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	3340""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	833""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Bachelor's degree (BA, AB, ""BS)"	"6"	747""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	56""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2021"	"2021"	"Unknown or Not ""Stated"	"Unk"	15""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2022"	"2022"	"8th grade or ""less"	"1"	613""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	1441""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	7246""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	3133""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2022"	"2022"	"Associate degree (AA, ""AS)"	"5"	845""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2022"	"2022"	"Bachelor's degree (BA, AB, ""BS)"	"6"	745""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2022"	"2022"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	72""
	"Alabama"	"01"	"20-24 years"	"20-24"	"2022"	"2022"	"Unknown or Not ""Stated"	"Unk"	17""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	"8th grade or ""less"	"1"	580""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	1760""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	5249""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	4388""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	"Associate degree (AA, ""AS)"	"5"	1916""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3517""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1033""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	173""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	"Unknown or Not ""Stated"	"Unk"	33""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	"8th grade or ""less"	"1"	526""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	1618""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	5270""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	4663""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	2009""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3397""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1067""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	178""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	"Unknown or Not ""Stated"	"Unk"	46""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	"8th grade or ""less"	"1"	466""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	1504""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	5471""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	4363""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	2004""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3284""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1038""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	184""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	34""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	"8th grade or ""less"	"1"	562""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	1398""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	5745""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	4442""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	2025""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3256""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1035""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	169""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	"Unknown or Not ""Stated"	"Unk"	30""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"8th grade or ""less"	"1"	542""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"9th through 12th grade with no ""diploma"	"2"	1311""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"High school graduate or GED ""completed"	"3"	5687""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Some college credit, but not a ""degree"	"4"	4127""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Associate degree (AA, ""AS)"	"5"	1983""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3265""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1102""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	180""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	"Unknown or Not ""Stated"	"Unk"	21""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"8th grade or ""less"	"1"	561""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"9th through 12th grade with no ""diploma"	"2"	1137""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"High school graduate or GED ""completed"	"3"	5698""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Some college credit, but not a ""degree"	"4"	4021""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Associate degree (AA, ""AS)"	"5"	1999""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3317""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1221""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	208""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2021"	"2021"	"Unknown or Not ""Stated"	"Unk"	17""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	"8th grade or ""less"	"1"	637""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	"9th through 12th grade with no ""diploma"	"2"	1074""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	"High school graduate or GED ""completed"	"3"	5875""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	"Some college credit, but not a ""degree"	"4"	3641""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	"Associate degree (AA, ""AS)"	"5"	1974""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3517""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1309""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	219""
	"Alabama"	"01"	"25-29 years"	"25-29"	"2022"	"2022"	"Unknown or Not ""Stated"	"Unk"	28""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"8th grade or ""less"	"1"	537""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"9th through 12th grade with no ""diploma"	"2"	836""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"High school graduate or GED ""completed"	"3"	2558""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"Some college credit, but not a ""degree"	"4"	2446""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"Associate degree (AA, ""AS)"	"5"	1324""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3372""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1832""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	518""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	"Unknown or Not ""Stated"	"Unk"	17""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"8th grade or ""less"	"1"	465""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"9th through 12th grade with no ""diploma"	"2"	808""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"High school graduate or GED ""completed"	"3"	2595""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"Some college credit, but not a ""degree"	"4"	2445""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"Associate degree (AA, ""AS)"	"5"	1368""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3370""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1753""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	600""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	"Unknown or Not ""Stated"	"Unk"	21""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"8th grade or ""less"	"1"	434""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"9th through 12th grade with no ""diploma"	"2"	798""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"High school graduate or GED ""completed"	"3"	2638""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"Some college credit, but not a ""degree"	"4"	2498""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"Associate degree (AA, ""AS)"	"5"	1411""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3293""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1800""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, ""JD)"	"8"	526""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	"Unknown or Not ""Stated"	"Unk"	24""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2019"	"2019"	"8th grade or ""less"	"1"	536""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2019"	"2019"	"9th through 12th grade with no ""diploma"	"2"	793""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2019"	"2019"	"High school graduate or GED ""completed"	"3"	2747""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2019"	"2019"	"Some college credit, but not a ""degree"	"4"	2479""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2019"	"2019"	"Associate degree (AA, ""AS)"	"5"	1451""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2019"	"2019"	"Bachelor's degree (BA, AB, ""BS)"	"6"	3361""
	"Alabama"	"01"	"30-34 years"	"30-34"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, ""MBA)"	"7"	1856""
