"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Mother's Education"	"Mother's Education Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"2019"	"2019"	"Some college credit, but not a degree"	"4"	99	12545	7.89
	"Alabama"	"01"	"2019"	"2019"	"Associate degree (AA, AS)"	"5"	28	5017	5.58
	"Alabama"	"01"	"2019"	"2019"	"Bachelor's degree (BA, AB, BS)"	"6"	38	8892	4.27
	"Alabama"	"01"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	20	3915	5.11
	"Alabama"	"01"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1056	Suppressed
	"Alabama"	"01"	"2019"	"2019"	"Unknown or Not Stated"	"Unk"	Suppressed	98	Suppressed
	"Alabama"	"01"	"2020"	"2020"	"8th grade or less"	"1"	20	2294	8.72
	"Alabama"	"01"	"2020"	"2020"	"9th through 12th grade with no diploma"	"2"	46	5612	8.20
	"Alabama"	"01"	"2020"	"2020"	"High school graduate or GED completed"	"3"	178	19011	9.36
	"Alabama"	"01"	"2020"	"2020"	"Some college credit, but not a degree"	"4"	85	11508	7.39
	"Alabama"	"01"	"2020"	"2020"	"Associate degree (AA, AS)"	"5"	24	5096	4.71
	"Alabama"	"01"	"2020"	"2020"	"Bachelor's degree (BA, AB, BS)"	"6"	31	8850	3.50
	"Alabama"	"01"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	12	4076	2.94 (Unreliable)
	"Alabama"	"01"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1121	Suppressed
	"Alabama"	"01"	"2020"	"2020"	"Unknown or Not Stated"	"Unk"	Suppressed	79	Suppressed
	"Alabama"	"01"	"2021"	"2021"	"8th grade or less"	"1"	16	2386	6.71 (Unreliable)
	"Alabama"	"01"	"2021"	"2021"	"9th through 12th grade with no diploma"	"2"	69	5240	13.17
	"Alabama"	"01"	"2021"	"2021"	"High school graduate or GED completed"	"3"	172	19165	8.97
	"Alabama"	"01"	"2021"	"2021"	"Some college credit, but not a degree"	"4"	75	11255	6.66
	"Alabama"	"01"	"2021"	"2021"	"Associate degree (AA, AS)"	"5"	28	5039	5.56
	"Alabama"	"01"	"2021"	"2021"	"Bachelor's degree (BA, AB, BS)"	"6"	53	9266	5.72
	"Alabama"	"01"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	16	4421	3.62 (Unreliable)
	"Alabama"	"01"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1220	Suppressed
	"Alabama"	"01"	"2021"	"2021"	"Unknown or Not Stated"	"Unk"	Suppressed	62	Suppressed
	"Alaska"	"02"	"2007"	"2007"	"Excluded"	"Exc"	73	11052	6.61
	"Alaska"	"02"	"2008"	"2008"	"Excluded"	"Exc"	69	11442	6.03
	"Alaska"	"02"	"2009"	"2009"	"Excluded"	"Exc"	78	11324	6.89
	"Alaska"	"02"	"2010"	"2010"	"Excluded"	"Exc"	41	11471	3.57
	"Alaska"	"02"	"2011"	"2011"	"Excluded"	"Exc"	44	11456	3.84
	"Alaska"	"02"	"2012"	"2012"	"Excluded"	"Exc"	57	11187	5.10
	"Alaska"	"02"	"2013"	"2013"	"Excluded"	"Exc"	66	11446	5.77
	"Alaska"	"02"	"2014"	"2014"	"8th grade or less"	"1"	Suppressed	80	Suppressed
	"Alaska"	"02"	"2014"	"2014"	"9th through 12th grade with no diploma"	"2"	12	1080	11.11 (Unreliable)
	"Alaska"	"02"	"2014"	"2014"	"High school graduate or GED completed"	"3"	28	3337	8.39
	"Alaska"	"02"	"2014"	"2014"	"Some college credit, but not a degree"	"4"	19	3031	6.27 (Unreliable)
	"Alaska"	"02"	"2014"	"2014"	"Associate degree (AA, AS)"	"5"	Suppressed	895	Suppressed
	"Alaska"	"02"	"2014"	"2014"	"Bachelor's degree (BA, AB, BS)"	"6"	Suppressed	1944	Suppressed
	"Alaska"	"02"	"2014"	"2014"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	645	Suppressed
	"Alaska"	"02"	"2014"	"2014"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	176	Suppressed
	"Alaska"	"02"	"2014"	"2014"	"Unknown or Not Stated"	"Unk"	Suppressed	204	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"9th through 12th grade with no diploma"	"2"	15	998	15.03 (Unreliable)
	"Alaska"	"02"	"2015"	"2015"	"High school graduate or GED completed"	"3"	25	3341	7.48
	"Alaska"	"02"	"2015"	"2015"	"Some college credit, but not a degree"	"4"	24	3039	7.90
	"Alaska"	"02"	"2015"	"2015"	"Associate degree (AA, AS)"	"5"	Suppressed	894	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"Bachelor's degree (BA, AB, BS)"	"6"	Suppressed	1856	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	663	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"Unknown or Not Stated"	"Unk"	Suppressed	217	Suppressed
	"Alaska"	"02"	"2016"	"2016"	"9th through 12th grade with no diploma"	"2"	11	1050	10.48 (Unreliable)
	"Alaska"	"02"	"2016"	"2016"	"High school graduate or GED completed"	"3"	14	3346	4.18 (Unreliable)
	"Alaska"	"02"	"2016"	"2016"	"Some college credit, but not a degree"	"4"	14	2911	4.81 (Unreliable)
	"Alaska"	"02"	"2016"	"2016"	"Associate degree (AA, AS)"	"5"	Suppressed	906	Suppressed
	"Alaska"	"02"	"2016"	"2016"	"Bachelor's degree (BA, AB, BS)"	"6"	Suppressed	1848	Suppressed
	"Alaska"	"02"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	719	Suppressed
	"Alaska"	"02"	"2016"	"2016"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	187	Suppressed
	"Alaska"	"02"	"2016"	"2016"	"Unknown or Not Stated"	"Unk"	Suppressed	166	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"8th grade or less"	"1"	Suppressed	88	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"9th through 12th grade with no diploma"	"2"	Suppressed	942	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"High school graduate or GED completed"	"3"	23	3097	7.43
	"Alaska"	"02"	"2017"	"2017"	"Some college credit, but not a degree"	"4"	10	2723	3.67 (Unreliable)
	"Alaska"	"02"	"2017"	"2017"	"Associate degree (AA, AS)"	"5"	Suppressed	844	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"Bachelor's degree (BA, AB, BS)"	"6"	Suppressed	1722	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	688	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	185	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"Unknown or Not Stated"	"Unk"	Suppressed	156	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"9th through 12th grade with no diploma"	"2"	10	880	11.36 (Unreliable)
	"Alaska"	"02"	"2018"	"2018"	"High school graduate or GED completed"	"3"	26	3021	8.61
	"Alaska"	"02"	"2018"	"2018"	"Some college credit, but not a degree"	"4"	13	2556	5.09 (Unreliable)
	"Alaska"	"02"	"2018"	"2018"	"Associate degree (AA, AS)"	"5"	Suppressed	838	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Bachelor's degree (BA, AB, BS)"	"6"	Suppressed	1737	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	643	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Unknown or Not Stated"	"Unk"	Suppressed	139	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"8th grade or less"	"1"	Suppressed	68	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"9th through 12th grade with no diploma"	"2"	Suppressed	830	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"High school graduate or GED completed"	"3"	23	3001	7.66
	"Alaska"	"02"	"2019"	"2019"	"Some college credit, but not a degree"	"4"	Suppressed	2446	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Associate degree (AA, AS)"	"5"	Suppressed	776	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Bachelor's degree (BA, AB, BS)"	"6"	Suppressed	1675	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	636	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Unknown or Not Stated"	"Unk"	Suppressed	169	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"9th through 12th grade with no diploma"	"2"	Suppressed	735	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"High school graduate or GED completed"	"3"	14	2994	4.68 (Unreliable)
	"Alaska"	"02"	"2020"	"2020"	"Some college credit, but not a degree"	"4"	13	2300	5.65 (Unreliable)
	"Alaska"	"02"	"2020"	"2020"	"Associate degree (AA, AS)"	"5"	Suppressed	813	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Bachelor's degree (BA, AB, BS)"	"6"	Suppressed	1579	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	612	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Unknown or Not Stated"	"Unk"	Suppressed	153	Suppressed
	"Alaska"	"02"	"2021"	"2021"	"8th grade or less"	"1"	Suppressed	60	Suppressed
	"Alaska"	"02"	"2021"	"2021"	"9th through 12th grade with no diploma"	"2"	11	712	15.45 (Unreliable)
	"Alaska"	"02"	"2021"	"2021"	"High school graduate or GED completed"	"3"	15	2848	5.27 (Unreliable)
	"Alaska"	"02"	"2021"	"2021"	"Some college credit, but not a degree"	"4"	21	2257	9.30
	"Alaska"	"02"	"2021"	"2021"	"Associate degree (AA, AS)"	"5"	Suppressed	752	Suppressed
	"Alaska"	"02"	"2021"	"2021"	"Bachelor's degree (BA, AB, BS)"	"6"	Suppressed	1697	Suppressed
	"Alaska"	"02"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	654	Suppressed
	"Alaska"	"02"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	219	Suppressed
	"Alaska"	"02"	"2021"	"2021"	"Unknown or Not Stated"	"Unk"	Suppressed	168	Suppressed
	"Arizona"	"04"	"2007"	"2007"	"Excluded"	"Exc"	707	102981	6.87
	"Arizona"	"04"	"2008"	"2008"	"Excluded"	"Exc"	635	99442	6.39
	"Arizona"	"04"	"2009"	"2009"	"Excluded"	"Exc"	554	92798	5.97
	"Arizona"	"04"	"2010"	"2010"	"Excluded"	"Exc"	520	87477	5.94
	"Arizona"	"04"	"2011"	"2011"	"Excluded"	"Exc"	511	85543	5.97
	"Arizona"	"04"	"2012"	"2012"	"Excluded"	"Exc"	500	86441	5.78
	"Arizona"	"04"	"2013"	"2013"	"Excluded"	"Exc"	449	85600	5.25
	"Arizona"	"04"	"2014"	"2014"	"8th grade or less"	"1"	21	3204	6.55
	"Arizona"	"04"	"2014"	"2014"	"9th through 12th grade with no diploma"	"2"	92	13842	6.65
	"Arizona"	"04"	"2014"	"2014"	"High school graduate or GED completed"	"3"	130	22189	5.86
	"Arizona"	"04"	"2014"	"2014"	"Some college credit, but not a degree"	"4"	103	20264	5.08
	"Arizona"	"04"	"2014"	"2014"	"Associate degree (AA, AS)"	"5"	29	6996	4.15
	"Arizona"	"04"	"2014"	"2014"	"Bachelor's degree (BA, AB, BS)"	"6"	50	13531	3.70
	"Arizona"	"04"	"2014"	"2014"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	22	5038	4.37
	"Arizona"	"04"	"2014"	"2014"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1465	Suppressed
	"Arizona"	"04"	"2014"	"2014"	"Unknown or Not Stated"	"Unk"	10	357	28.01 (Unreliable)
	"Arizona"	"04"	"2014"	"2014"	"Excluded"	"Exc"	67	Suppressed	Suppressed
	"Arizona"	"04"	"2015"	"2015"	"8th grade or less"	"1"	19	2979	6.38 (Unreliable)
	"Arizona"	"04"	"2015"	"2015"	"9th through 12th grade with no diploma"	"2"	90	13142	6.85
	"Arizona"	"04"	"2015"	"2015"	"High school graduate or GED completed"	"3"	134	21544	6.22
	"Arizona"	"04"	"2015"	"2015"	"Some college credit, but not a degree"	"4"	117	20253	5.78
	"Arizona"	"04"	"2015"	"2015"	"Associate degree (AA, AS)"	"5"	29	6952	4.17
	"Arizona"	"04"	"2015"	"2015"	"Bachelor's degree (BA, AB, BS)"	"6"	51	13479	3.78
	"Arizona"	"04"	"2015"	"2015"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	19	5131	3.70 (Unreliable)
	"Arizona"	"04"	"2015"	"2015"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1476	Suppressed
	"Arizona"	"04"	"2015"	"2015"	"Unknown or Not Stated"	"Unk"	Suppressed	395	Suppressed
	"Arizona"	"04"	"2016"	"2016"	"8th grade or less"	"1"	19	2751	6.91 (Unreliable)
	"Arizona"	"04"	"2016"	"2016"	"9th through 12th grade with no diploma"	"2"	79	12352	6.40
	"Arizona"	"04"	"2016"	"2016"	"High school graduate or GED completed"	"3"	128	21291	6.01
	"Arizona"	"04"	"2016"	"2016"	"Some college credit, but not a degree"	"4"	115	20085	5.73
	"Arizona"	"04"	"2016"	"2016"	"Associate degree (AA, AS)"	"5"	36	7173	5.02
	"Arizona"	"04"	"2016"	"2016"	"Bachelor's degree (BA, AB, BS)"	"6"	48	13799	3.48
	"Arizona"	"04"	"2016"	"2016"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	14	4984	2.81 (Unreliable)
	"Arizona"	"04"	"2016"	"2016"	"Unknown or Not Stated"	"Unk"	11	551	19.96 (Unreliable)
	"Arizona"	"04"	"2017"	"2017"	"8th grade or less"	"1"	21	2517	8.34
	"Arizona"	"04"	"2017"	"2017"	"9th through 12th grade with no diploma"	"2"	76	11557	6.58
	"Arizona"	"04"	"2017"	"2017"	"High school graduate or GED completed"	"3"	133	21492	6.19
	"Arizona"	"04"	"2017"	"2017"	"Some college credit, but not a degree"	"4"	119	19218	6.19
	"Arizona"	"04"	"2017"	"2017"	"Associate degree (AA, AS)"	"5"	26	6756	3.85
	"Arizona"	"04"	"2017"	"2017"	"Bachelor's degree (BA, AB, BS)"	"6"	59	13019	4.53
	"Arizona"	"04"	"2017"	"2017"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	20	5141	3.89
	"Arizona"	"04"	"2017"	"2017"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1594	Suppressed
	"Arizona"	"04"	"2017"	"2017"	"Unknown or Not Stated"	"Unk"	Suppressed	578	Suppressed
	"Arizona"	"04"	"2018"	"2018"	"8th grade or less"	"1"	Suppressed	2394	Suppressed
	"Arizona"	"04"	"2018"	"2018"	"9th through 12th grade with no diploma"	"2"	77	11102	6.94
	"Arizona"	"04"	"2018"	"2018"	"High school graduate or GED completed"	"3"	151	21303	7.09
	"Arizona"	"04"	"2018"	"2018"	"Some college credit, but not a degree"	"4"	101	18661	5.41
	"Arizona"	"04"	"2018"	"2018"	"Associate degree (AA, AS)"	"5"	37	6887	5.37
	"Arizona"	"04"	"2018"	"2018"	"Bachelor's degree (BA, AB, BS)"	"6"	52	13326	3.90
	"Arizona"	"04"	"2018"	"2018"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	18	5111	3.52 (Unreliable)
	"Arizona"	"04"	"2018"	"2018"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1575	Suppressed
	"Arizona"	"04"	"2018"	"2018"	"Unknown or Not Stated"	"Unk"	Suppressed	364	Suppressed
	"Arizona"	"04"	"2019"	"2019"	"8th grade or less"	"1"	15	2247	6.68 (Unreliable)
	"Arizona"	"04"	"2019"	"2019"	"9th through 12th grade with no diploma"	"2"	87	10350	8.41
	"Arizona"	"04"	"2019"	"2019"	"High school graduate or GED completed"	"3"	125	21293	5.87
	"Arizona"	"04"	"2019"	"2019"	"Some college credit, but not a degree"	"4"	88	18249	4.82
	"Arizona"	"04"	"2019"	"2019"	"Associate degree (AA, AS)"	"5"	31	6803	4.56
	"Arizona"	"04"	"2019"	"2019"	"Bachelor's degree (BA, AB, BS)"	"6"	50	13466	3.71
	"Arizona"	"04"	"2019"	"2019"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	16	5073	3.15 (Unreliable)
	"Arizona"	"04"	"2019"	"2019"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1556	Suppressed
	"Arizona"	"04"	"2019"	"2019"	"Unknown or Not Stated"	"Unk"	13	338	38.46 (Unreliable)
	"Arizona"	"04"	"2020"	"2020"	"8th grade or less"	"1"	13	1958	6.64 (Unreliable)
	"Arizona"	"04"	"2020"	"2020"	"9th through 12th grade with no diploma"	"2"	71	9553	7.43
	"Arizona"	"04"	"2020"	"2020"	"High school graduate or GED completed"	"3"	126	20860	6.04
	"Arizona"	"04"	"2020"	"2020"	"Some college credit, but not a degree"	"4"	82	17562	4.67
	"Arizona"	"04"	"2020"	"2020"	"Associate degree (AA, AS)"	"5"	25	6703	3.73
	"Arizona"	"04"	"2020"	"2020"	"Bachelor's degree (BA, AB, BS)"	"6"	45	13262	3.39
	"Arizona"	"04"	"2020"	"2020"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	17	5026	3.38 (Unreliable)
	"Arizona"	"04"	"2020"	"2020"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	11	1641	6.70 (Unreliable)
	"Arizona"	"04"	"2020"	"2020"	"Unknown or Not Stated"	"Unk"	Suppressed	382	Suppressed
	"Arizona"	"04"	"2021"	"2021"	"8th grade or less"	"1"	16	1838	8.71 (Unreliable)
	"Arizona"	"04"	"2021"	"2021"	"9th through 12th grade with no diploma"	"2"	68	9065	7.50
	"Arizona"	"04"	"2021"	"2021"	"High school graduate or GED completed"	"3"	132	21459	6.15
	"Arizona"	"04"	"2021"	"2021"	"Some college credit, but not a degree"	"4"	88	17105	5.14
	"Arizona"	"04"	"2021"	"2021"	"Associate degree (AA, AS)"	"5"	38	6807	5.58
	"Arizona"	"04"	"2021"	"2021"	"Bachelor's degree (BA, AB, BS)"	"6"	53	14283	3.71
	"Arizona"	"04"	"2021"	"2021"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	18	5313	3.39 (Unreliable)
	"Arizona"	"04"	"2021"	"2021"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	1700	Suppressed
	"Arizona"	"04"	"2021"	"2021"	"Unknown or Not Stated"	"Unk"	10	346	28.90 (Unreliable)
	"Arkansas"	"05"	"2007"	"2007"	"Excluded"	"Exc"	323	41378	7.81
	"Arkansas"	"05"	"2008"	"2008"	"Excluded"	"Exc"	300	40669	7.38
	"Arkansas"	"05"	"2009"	"2009"	"Excluded"	"Exc"	301	39808	7.56
	"Arkansas"	"05"	"2010"	"2010"	"Excluded"	"Exc"	279	38540	7.24
	"Arkansas"	"05"	"2011"	"2011"	"Excluded"	"Exc"	282	38715	7.28
	"Arkansas"	"05"	"2012"	"2012"	"Excluded"	"Exc"	271	38347	7.07
	"Arkansas"	"05"	"2013"	"2013"	"Excluded"	"Exc"	297	37832	7.85
	"Arkansas"	"05"	"2014"	"2014"	"8th grade or less"	"1"	Suppressed	1029	Suppressed
	"Arkansas"	"05"	"2014"	"2014"	"9th through 12th grade with no diploma"	"2"	43	5039	8.53
	"Arkansas"	"05"	"2014"	"2014"	"High school graduate or GED completed"	"3"	109	12140	8.98
	"Arkansas"	"05"	"2014"	"2014"	"Some college credit, but not a degree"	"4"	49	9438	5.19
	"Arkansas"	"05"	"2014"	"2014"	"Associate degree (AA, AS)"	"5"	11	2755	3.99 (Unreliable)
	"Arkansas"	"05"	"2014"	"2014"	"Bachelor's degree (BA, AB, BS)"	"6"	23	5371	4.28
	"Arkansas"	"05"	"2014"	"2014"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	Suppressed	2019	Suppressed
	"Arkansas"	"05"	"2014"	"2014"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	Suppressed	544	Suppressed
	"Arkansas"	"05"	"2014"	"2014"	"Unknown or Not Stated"	"Unk"	Suppressed	175	Suppressed
